Soortengroep;Meetnet;Protocol;Type;Meetnetlocaties;Meetcyclus;Generatie;Bezoeken;Begin_telperiode;Einde_telperiode;Opstartjaar;Type_soort
Amfibieën;Boomkikker;Padden en kikkers - Roepkoren;Steekproef;60;3;;2;15/apr;15/jun;2016;EPS
Amfibieën;Boomkikker;Amfibieën - Larven en metamorfen;Steekproef;60;3;;1;1/jul;30/jul;2016;EPS
Amfibieën;Kamsalamander;Amfibieën - Fuiken;Steekproef;60;3;;2;15/apr;31/mei;2017;EPS
Amfibieën;Kamsalamander;Amfibieën - Larven en metamorfen;Steekproef;60;3;;1;1/jul;15/jul;2017;EPS
Amfibieën;Knoflookpad;Padden en kikkers - Roepkoren;Integraal;6;1;;2;1/apr;30/apr;2017;VPS
Amfibieën;Knoflookpad;Amfibieën - Larven en metamorfen;Integraal;6;1;;1;15/mei;30/jun;2017;VPS
Amfibieën;Vuursalamander;Vuursalamander - Transecten;Integraal;38;1;;2;1/sep;30/okt;2016;VPS
Amfibieën;Rugstreeppad;Rugstreeppad - Roepkoren of zichtwaarneming;Integraal;47;3;;4;;;2018;EPS
Kevers;Vliegend hert;Vliegend hert - Inhaalslag;Inhaalslag;38;6;;6;1/jun;30/jul;2017;EPS
Kevers;Roestbruine kniptor;Kevers - Feromoonval;Inhaalslag;;6;;1;;;2018;VPS
Spinkhanen&krekels;Schavertje;Sprinkhanen - Wegvangst;Integraal;3;1;;1;1/aug;30/sep;2017;VPS
Spinkhanen&krekels;Zadelsprinkhaan;Sprinkhanen - Gebiedstelling;Integraal;5;1;;2;1/aug;30/sep;2016;VPS
Libellen;Gevlekte witsnuitlibel;Libellen - Populatietelling per locatie;Integraal;25;1;;2;1/jun;30/jun;2016;EPS
Libellen;Hoogveenglanslibel;Libellen - Populatietelling per locatie;Integraal;12;1;;2;1/jun;30/jul;2018;VPS
Libellen;Kempense heidelibel;Libellen - Populatietelling per locatie;Integraal;6;1;;2;1/aug;31/aug;2016;VPS
Libellen;Maanwaterjuffer;Libellen - Populatietelling per locatie;Integraal;7;1;;2;1/mei;31/mei;2016;VPS
Libellen;Rivierrombout;Libellen - Larvenhuidjes;Integraal;13;1;;5;20/jun;20/aug;2016;EPS
Libellen;Beekrombout;Libellen - Larvenhuidjes;Integraal;11;1;;3;;;2018;VPS
Libellen;Speerwaterjuffer;Libellen - Populatietelling per locatie;Integraal;6;1;;2;15/mei;20/jun;2017;VPS
Libellen;Variabele waterjuffer;Libellen - Transecten;Steekproef;30;3;;2;1/mei;30/jun;2017;VPS
Libellen;Bosbeekjuffer;Libellen - Transecten;Steekproef;30;3;;2;;;2018;VPS
Libellen;Vroege glazenmaker;Libellen - Transecten;Steekproef;30;3;;2;1/mei;30/jun;2017;VPS
Spinnen;Gerande oeverspin;Gerande oeverspin - Inhaalslag;Inhaalslag;107;6;;1;1/apr;30/sep;2016;VPS
Spinnen;Lentevuurspin;Lentevuurspin;Integraal;3;1;;1;15/aug;15/sep;2016;VPS
Vaatplanten;Bleekgeel blaasjeskruid;Vaatplanten - Oppervlakte;Integraal;2;1;;1;1/jun;30/aug;2016;VPS
Vaatplanten;Driekantige bies;Vaatplanten - Oppervlakte;Integraal;12;1;;1;1/jun;30/sep;2016;VPS
Vaatplanten;Duingentiaan;Vaatplanten - Aantal individuen;Integraal;13;1;;1;1/aug;30/sep;2016;VPS
Vaatplanten;Fijn goudscherm;Vaatplanten - Aantal individuen;Integraal;2;1;;1;1/jun;30/sep;2016;VPS
Vaatplanten;Gesteelde zoutmelde;Vaatplanten - Oppervlakte;Integraal;3;1;;1;1/aug;30/sep;2016;VPS
Vaatplanten;Grote bremraap;Vaatplanten - Aantal individuen;Integraal;37;1;;1;1/jun;30/jul;2016;VPS
Vaatplanten;Harlekijn;Vaatplanten - Aantal individuen;Integraal;2;1;;1;1/mei;30/jun;2016;VPS
Vaatplanten;Honingorchis;Vaatplanten - Aantal individuen;Integraal;11;1;;1;1/jun;30/jul;2016;VPS
Vaatplanten;Kleine schorseneer;Vaatplanten - Aantal individuen;Integraal;4;1;;1;1/mei;30/jun;2016;VPS
Vaatplanten;Kleine wolfsklauw;Vaatplanten - Aantal individuen;Integraal;3;1;;1;1/aug;30/sep;2016;VPS
Vaatplanten;Klimopklokje;Vaatplanten - Oppervlakte;Integraal;9;1;;1;1/jun;30/sep;2016;VPS
Vaatplanten;Koprus;Vaatplanten - Aantal individuen;Integraal;2;1;;1;1/jun;30/sep;2016;VPS
Vaatplanten;Krabbenscheer;Vaatplanten - Aantal individuen;Integraal;10;1;;1;1/mei;30/jul;2016;VPS
Vaatplanten;Moerassmele;Vaatplanten - Oppervlakte;Integraal;4;1;;1;1/jul;30/aug;2016;VPS
Vaatplanten;Plat fonteinkruid;Vaatplanten - Oppervlakte;Integraal;6;1;;1;1/mei;30/sep;2016;VPS
Vaatplanten;Polei;Vaatplanten - Oppervlakte;Integraal;3;1;;1;1/aug;30/sep;2016;VPS
Vaatplanten;Purperorchis;Vaatplanten - Aantal individuen;Integraal;17;1;;1;1/mei;30/jun;2016;VPS
Vaatplanten;Ronde zegge;Vaatplanten - Oppervlakte;Integraal;14;1;;1;1/mei;30/jun;2016;VPS
Vaatplanten;Slank wollegras;Vaatplanten - Oppervlakte;Integraal;5;1;;1;1/mei;30/jul;2016;VPS
Vaatplanten;Spits fonteinkruid;Vaatplanten - Oppervlakte;Integraal;23;1;;1;1/mei;30/sep;2016;VPS
Vaatplanten;Stekende bies;Vaatplanten - Oppervlakte;Integraal;4;1;;1;1/jun;30/aug;2016;VPS
Vaatplanten;Veenmosorchis;Vaatplanten - Aantal individuen;Integraal;3;1;;1;1/jul;30/aug;2016;VPS
Vaatplanten;Weegbreefonteinkruid;Vaatplanten - Oppervlakte;Integraal;13;1;;1;1/mei;30/aug;2016;VPS
Vaatplanten;Welriekende nachtorchis;Vaatplanten - Aantal individuen;Integraal;18;1;;1;1/jun;30/aug;2016;VPS
Vaatplanten;Witte waterranonkel;Vaatplanten - Oppervlakte;Integraal;39;1;;1;1/mei;30/jul;2016;VPS
Vlinders;Aardbeivlinder;Vlinders - Transecten;Integraal;4;1;;3;1/mei;31/mei;2017;VPS
Vlinders;Argusvlinder;Vlinders - Transecten;Steekproef;30;3;Generatie 1;3;1/mei;31/mei;2016;VPS
Vlinders;Argusvlinder;Vlinders - Transecten;Steekproef;30;3;Generatie 2;3;20/jul;20/aug;2016;VPS
Vlinders;Bruin dikkopje;Vlinders - Transecten;Integraal;4;1;Generatie 1;3;1/mei;31/mei;2017;VPS
Vlinders;Bruin dikkopje;Vlinders - Transecten;Integraal;4;1;Generatie 2;3;20/jul;20/aug;2017;VPS
Vlinders;Bruine eikenpage;Vlinders - Gebiedstelling;Integraal;13;1;;1;1/dec;30/mrt;2018;VPS
Vlinders;Gentiaanblauwtje;Vlinders - Eitellingen;Integraal;7;1;;1;1/aug;31/aug;2016;VPS
Vlinders;Grote weerschijnvlinder;Vlinders - Gebiedstelling;Integraal;9;1;;3;1/jul;30/jul;2018;VPS
Vlinders;Heivlinder;Vlinders - Transecten;Steekproef;30;3;;3;20/jul;20/aug;2016;VPS
Vlinders;Klaverblauwtje;Vlinders - Transecten;Integraal;1;1;Generatie 1;3;1/mei;31/mei;2017;VPS
Vlinders;Klaverblauwtje;Vlinders - Transecten;Integraal;1;1;Generatie 2;3;10/jul;10/aug;2017;VPS
Vlinders;Kommavlinder;Vlinders - Transecten;Integraal;12;1;;3;1/aug;31/aug;2016;VPS
Vlinders;Oranje zandoogje;Vlinders - Transecten;Steekproef;60;3;;3;15/jul;15/aug;2017;VPS
Vlinders;Veldparelmoervlinder;Vlinders - Transecten;Integraal;12;1;;3;1/mei;31/mei;2016;VPS
Zoogdieren;Das;Burchtentelling das;Integraal;435;3;;1;15/mei;15/jul;2016;VPS
Zoogdieren;Hamster;Burchtentelling hamster;Integraal;1;1;;1;1/aug;30/sep;2016;EPS
Zoogdieren;Hazelmuis;Hazelmuis - Transecten;Integraal;16;1;;2;15/sep;15/nov;2016;EPS
Vogels;Algemene Broedvogelmonitoring (ABV);Algemene Broedvogelmonitoring;Steekproef;;3;;3;;;;EPS
